record,country,year,Gross Domestic Product (GDP),Gross National Income (GNI),Inflation rate,Unemployment rate,Poverty rate,Life expectancy,Literacy rate,Access to electricity,Mobile phone subscriptions,Government expenditure on education,Foreign direct investment (FDI),Exports of goods and services,Imports of goods and services,Gross capital formation,Agricultural land area,Agricultural production index,GDP_BN,GNI_BN,year_o,net_exim_bal
10,Australia,01-01-2016,1.21E+12,1.18E+12,1.276990945,5.710000038,,82.44878049,,100,109.7343698,13.80438995,3.561396852,19.27225801,21.55057682,25.41643088,44.53992579,98.22,1206.535158,1178.148202,2016,-2.278318808
11,Australia,01-01-2015,1.35E+12,1.32E+12,1.508366722,6.050000191,,82.4,,100,108.1853261,14.08578968,3.471957926,20.068071,21.55503741,26.28088991,45.31442407,101.09,1350.615692,1323.177469,2015,-1.486966405
12,Brazil,01-01-2020,1.45E+12,1.42E+12,3.211768038,13.93000031,,74.009,,100,96.54706819,,2.608541374,16.79506843,16.09538367,15.93062205,28.34109036,111.85,1448.559976,1417.763933,2020,0.699684761
13,Brazil,01-01-2019,1.87E+12,1.82E+12,3.732976212,12.05000019,,75.338,,99.80000305,95.38505233,15.95808029,3.692700362,14.12291919,14.76733868,15.51679083,28.34109036,109.26,1873.274433,1822.980993,2019,-0.644419489
14,Brazil,01-01-2018,1.92E+12,1.86E+12,3.664850284,12.46000004,,75.109,93.22750092,99.69999695,99.64002652,16.1483593,4.077458782,14.6349995,14.24120388,15.09504163,28.34109036,107.09,1916.947014,1863.643739,2018,0.393795616
15,Brazil,01-01-2017,2.06E+12,2.02E+12,3.44637335,12.93000031,,74.827,93.07582092,99.80000305,106.1217992,16.50490952,3.338271324,12.51896787,11.8007665,14.6255876,28.34106631,107.17,2063.507865,2024.930461,2017,0.718201365
16,Brazil,01-01-2016,1.80E+12,1.76E+12,8.739143523,11.73999977,,74.442,92.80844116,99.69999695,117.9869738,15.92883015,4.137362633,12.46667904,12.06700304,14.96954697,28.2549706,99.03,1795.700169,1757.603663,2016,0.399676008
17,Brazil,01-01-2015,1.80E+12,1.77E+12,9.029901024,8.56000042,,74.332,92.04789734,99.71089935,125.6477067,16.21810913,3.592144999,12.90019142,14.05343452,17.41162587,28.16873132,101.82,1802.214374,1768.302238,2015,-1.153243101
18,Canada,01-01-2020,1.65E+12,1.63E+12,0.716999632,9.460000038,,81.74878049,,100,85.40841921,10,1.846609872,29.36344802,31.41908242,22.25706963,6.440513117,113.66,1645.423408,1627.048915,2020,-2.055634404
19,Canada,01-01-2019,1.74E+12,1.72E+12,1.949269024,5.659999847,,82.04878049,,100,91.59004081,11.73793983,2.809522276,31.90853262,33.50382946,22.98258032,6.486689666,110.85,1742.015045,1719.638539,2019,-1.595296834
20,Canada,01-01-2018,1.73E+12,1.70E+12,2.268225672,5.829999924,,82.04878049,,100,89.67401709,12.08487034,2.469312073,32.28018242,34.16753441,23.1535753,6.491708856,109.41,1725.329193,1695.996609,2018,-1.887351991
21,Canada,01-01-2017,1.65E+12,1.63E+12,1.596884129,6.340000153,,81.9,,100,86.70104032,12.17074013,1.53752072,31.45441015,33.6466507,23.55046923,6.471855171,108.21,1649.265644,1628.291572,2017,-2.192240549
22,Canada,01-01-2016,1.53E+12,1.51E+12,1.428759547,7,,81.9,,100,85.15367591,12.03549957,2.238350121,31.50257241,33.86111211,22.76112016,6.474755147,106.82,1527.994742,1509.327937,2016,-2.358539703
23,Canada,01-01-2015,1.56E+12,1.53E+12,1.125241361,6.909999847,,81.9,,100,83.30038912,12.35161972,3.853894537,31.84996096,34.3149411,23.82159339,6.467505206,98.53,1556.508816,1532.663548,2015,-2.46498014
24,China,01-01-2020,1.47E+13,1.46E+13,2.419421895,5,0,78.077,97.15000153,100,120.5961882,10.52999973,1.723183793,18.58613924,16.16815654,43.36667433,56.07689766,102.96,14687.67389,14570.06869,2020,2.417982702
25,China,01-01-2019,1.43E+13,1.42E+13,2.899234164,4.559999943,0.6,77.968,,100,122.8132903,11.22999954,1.310718778,18.40999232,17.48010372,43.25110564,56.07701437,101.9,14279.9375,14239.92824,2019,0.929888597
26,China,01-01-2018,1.39E+13,1.38E+13,2.0747904,4.309999943,1.7,77.744,96.84088898,100,116.3882038,10.75862026,1.693905294,19.11210354,18.45368057,43.79347517,56.07706743,103.25,13894.81755,13833.7886,2018,0.658422971
27,China,01-01-2017,1.23E+13,1.23E+13,1.593136001,4.46999979,3.1,77.248,,100,104.2265872,11.5886898,1.349132679,19.69227699,17.94013625,43.01329739,56.07733457,102.59,12310.40937,12294.27857,2017,1.752140736
28,China,01-01-2016,1.12E+13,1.12E+13,2.000001822,4.559999943,4.5,77.218,,100,97.36386675,11.88547993,1.55564215,19.58438005,17.31003496,42.63137693,56.08166541,100.86,11233.27654,11177.57625,2016,2.27434509
29,China,01-01-2015,1.11E+13,1.10E+13,1.437023809,4.650000095,5.7,76.977,,100,92.70071605,12.10192966,2.192181603,21.35407988,18.11008945,43.23480666,56.09020144,101.14,11061.55308,11008.77107,2015,3.24399043
30,France,01-01-2020,2.64E+12,2.68E+12,0.476498853,8.010000229,,82.17560976,,100,112.8271405,,0.557988046,27.45022764,29.41359525,23.7207251,52.14754628,92.19,2639.008702,2679.986129,2020,-1.963367611
31,France,01-01-2019,2.73E+12,2.79E+12,1.108254923,8.409999847,13.8,82.82682927,,100,111.8637727,9.672380447,1.960494002,31.59205541,32.54941778,24.36464032,52.27069693,97.88,2728.870247,2787.416525,2019,-0.957362361
32,France,01-01-2018,2.79E+12,2.86E+12,1.850815083,9.020000458,,82.67560976,,100,109.5588076,9.717340469,2.776578144,31.71366721,32.72428539,23.85725759,52.34176533,97.03,2790.956879,2855.661376,2018,-1.010618176
33,France,01-01-2017,2.60E+12,2.65E+12,1.032282751,9.409999847,,82.57560976,,100,107.5983841,9.648249626,1.38212039,30.94863319,32.01321411,23.43619001,52.4100669,101.36,2595.151045,2653.805222,2017,-1.064580919
34,France,01-01-2016,2.47E+12,2.53E+12,0.183334861,10.05000019,,82.57317073,,100,105.5973124,9.559823036,1.326491698,30.24753718,30.8526052,22.60939274,52.4475461,95.27,2472.964345,2525.276586,2016,-0.605068015
35,France,01-01-2015,2.44E+12,2.49E+12,0.037514381,10.35000038,,82.32195122,,100,104.4996731,9.620544434,1.755723741,30.59262238,31.15907156,22.71232406,52.46376176,102.23,2439.188643,2491.864987,2015,-0.566449178
36,Germany,01-01-2020,3.89E+12,4.00E+12,0.50668989,3.859999895,15.8,80.94146341,,100,128.8867207,9.180000305,3.670711646,43.01312903,37.38517603,22.0899857,47.49706632,94.74,3889.668895,4004.193473,2020,5.627953004
37,Germany,01-01-2019,3.89E+12,4.02E+12,1.445667015,3.140000105,16.1,81.29268293,,100,128.9265144,11.37255955,1.843505463,46.66961299,41.0167969,22.12054381,47.70027763,93.67,3888.226036,4019.078053,2019,5.652816086
38,Germany,01-01-2018,3.97E+12,4.11E+12,1.732167661,3.380000114,,80.89268293,,100,129.6794748,11.22558022,4.198535987,47.30885914,41.2110119,21.91959471,47.64153644,91.58,3974.443355,4108.434454,2018,6.097847242
39,Germany,01-01-2017,3.69E+12,3.78E+12,1.509496558,3.75,,80.99268293,,100,132.7695384,11.02845001,2.966954512,47.16304068,40.07416227,20.96227304,47.76311647,97.5,3690.849153,3778.789184,2017,7.088878414
40,Germany,01-01-2016,3.47E+12,3.56E+12,0.491748625,4.119999886,,80.9902439,,100,125.6749823,10.91053963,1.864856711,46.07326285,38.69638311,19.96742952,47.68433707,97.76,3469.853464,3555.930678,2016,7.376879741
41,Germany,01-01-2015,3.36E+12,3.43E+12,0.51442054,4.619999886,,80.64146341,,100,117.4073504,10.99915981,1.859147308,46.92073836,39.32548626,19.74294325,47.95906667,99.27,3357.585719,3434.101057,2015,7.5952521
42,India,01-01-2020,2.67E+12,2.63E+12,6.623436776,10.19499969,,70.15,,99,82.621059,16.54015923,2.41266468,18.70889869,19.09645489,27.8963067,60.21985692,116.38,2667.687952,2631.758362,2020,-0.387556206
43,India,01-01-2019,2.83E+12,2.80E+12,3.729505735,6.510000229,,70.91,,97.30826569,83.25286162,16.72864914,1.787381739,18.69098271,21.27154523,30.22101732,60.21981337,115.29,2831.552223,2804.313596,2019,-2.580562519
44,India,01-01-2018,2.70E+12,2.67E+12,3.938826467,7.650000095,,70.71,74.37299347,95.69999695,85.90350833,16.63537979,1.558214793,19.9278286,23.68914073,32.34321821,60.24356466,115.01,2702.929719,2673.994353,2018,-3.761312135
45,India,01-01-2017,2.65E+12,2.62E+12,3.328173375,7.732999802,,70.467,,92.12494659,86.31708801,15.80976963,1.507316581,18.79176484,21.95073212,30.98217576,60.2839388,108.96,2651.472946,2622.799775,2017,-3.158967276
46,India,01-01-2016,2.29E+12,2.25E+12,4.948216341,7.842000008,,70.117,,89.21779633,84.25058892,15.7215004,1.937363198,19.15823491,20.9242508,30.17269167,60.39909996,102.38,2294.797981,2247.940124,2016,-1.766015892
47,India,01-01-2015,2.10E+12,2.08E+12,4.906973441,7.914999962,,69.636,,88,75.67324414,15.69221973,2.092115758,19.81318916,22.10972471,32.11673014,60.43172485,98.3,2103.587814,2079.182326,2015,-2.296535553
48,Indonesia,01-01-2020,1.06E+12,1.03E+12,1.920968006,4.25,9.8,68.808,95.99900818,96.94999695,130.8110952,19.15279961,1.8112098,17.27142134,15.70417423,32.35459061,33.18208764,114.52,1058.688935,1030.410291,2020,1.567247105
49,Indonesia,01-01-2019,1.12E+12,1.09E+12,3.03058665,3.589999914,9.4,70.518,,98.84999847,126.5946679,17.34799957,2.233362049,18.5915278,19.03624974,33.78014238,33.18208764,112.2,1119.099868,1085.078647,2019,-0.444721942
50,Indonesia,01-01-2018,1.04E+12,1.01E+12,3.198346416,4.389999866,9.8,70.338,95.65856171,98.51000214,119.6084851,16.5608902,1.814289797,21.0027465,22.07156246,34.57058583,33.18208764,115.7,1042.271531,1011.212625,2018,-1.068815961
51,Indonesia,01-01-2017,1.02E+12,9.83E+11,3.80879807,3.779999971,10.6,69.936,,98.13999939,164.5351584,16.12074089,2.019489201,20.17730444,19.17819264,33.7105948,33.18208764,110.1,1015.618743,983.4379547,2017,0.9991118
52,Indonesia,01-01-2016,9.32E+11,9.02E+11,3.525805157,4.300000191,10.9,69.798,95.37696838,97.62000275,147.24962,21.21980095,0.487372471,19.08899385,18.33234795,33.8587393,32.0635903,98.6,931.8773642,902.045436,2016,0.756645905
53,Indonesia,01-01-2015,8.61E+11,8.32E+11,6.363121131,4.510000229,11.2,69.699,95.21793365,97.53736877,130.8216306,20.50329971,2.297616387,21.16017926,20.77746098,34.06279218,30.51899874,101.96,860.8542351,832.2988556,2015,0.382718278
54,Italy,01-01-2020,1.90E+12,1.92E+12,-0.137707574,9.159999847,20.1,82.34390244,,100,130.3870472,7.46999979,-1.164670118,29.44323733,25.84304887,17.67590132,43.95756754,99.93,1896.755302,1920.487395,2020,3.60018846
55,Italy,01-01-2019,2.01E+12,2.03E+12,0.611246944,9.949999809,20,83.49756098,99.34909821,100,133.0713342,8.448579788,1.550498698,31.60241973,28.2765605,18.23967793,44.36999564,98.46,2011.302199,2028.350676,2019,3.325859232
56,Italy,01-01-2018,2.09E+12,2.12E+12,1.137487636,10.60999966,20.1,83.34634146,99.15576172,100,139.1884938,8.795740128,2.115255482,31.3535542,28.94999704,18.52746022,41.94874847,99.14,2091.932426,2115.040163,2018,2.403557159
57,Italy,01-01-2017,1.96E+12,1.97E+12,1.226533166,11.21000004,20.3,82.94634146,,100,139.776512,8.295180321,0.567766927,30.73373332,27.87044263,18.05407117,43.3743296,97.96,1961.796197,1972.735013,2017,2.863290692
58,Italy,01-01-2016,1.88E+12,1.88E+12,-0.094016657,11.68999958,20.3,83.24390244,,100,142.9771615,7.77489996,1.366845175,29.32789075,26.03971207,17.56102831,43.32505969,101.88,1877.071688,1882.461088,2016,3.288178679
59,Italy,01-01-2015,1.84E+12,1.82E+12,0.0387904,11.89999962,20.6,82.54390244,,100,145.5869288,8.095910072,0.724336604,29.71598237,26.70219379,17.10726702,43.77481249,102.55,1836.637711,1823.940446,2015,3.013788583
60,Japan,01-01-2020,5.04E+12,5.22E+12,-0.024995834,2.799999952,,84.61560976,,100,155.7389638,7.309999943,1.204839378,15.55855428,15.80015735,25.41490804,11.99451303,99.22,5040.107754,5222.88721,2020,-0.241603076
61,Japan,01-01-2019,5.12E+12,5.32E+12,0.468776159,2.349999905,,84.35634146,,100,148.2722187,8.182955742,0.779973899,17.44537783,17.73444237,25.8166109,12.06310014,100.38,5123.318152,5323.445359,2019,-0.289064537
62,Japan,01-01-2018,5.04E+12,5.23E+12,0.989094598,2.470000029,,84.21097561,,100,142.4668807,8.129657745,0.50198877,18.32601765,18.30604619,25.59498236,12.12620027,99.5,5037.835383,5230.631861,2018,0.019971461
63,Japan,01-01-2017,4.93E+12,5.11E+12,0.484199796,2.819999933,,84.0997561,,100,136.4176676,8.153193474,0.381319638,17.5914391,16.83177447,25.21482698,12.1920439,99.84,4930.837369,5113.251597,2017,0.759664637
64,Japan,01-01-2016,5.00E+12,5.18E+12,-0.127258844,3.130000114,,83.98487805,,100,131.3864746,8.196087837,0.818481615,16.05796924,15.25227761,24.83559732,12.26611797,99.44,5003.677628,5177.794688,2016,0.805691627
65,Japan,01-01-2015,4.44E+12,4.62E+12,0.795279631,3.390000105,,83.79390244,,100,126.1756831,8.374353409,0.118161988,17.43675984,17.99064852,25.16534788,12.33470508,99.76,4444.930652,4619.771169,2015,-0.553888679
66,Mexico,01-01-2020,1.09E+12,1.05E+12,3.396834156,4.449999809,43.9,70.133,95.24784851,99.40000153,97.53972081,,2.889191388,39.47714448,37.42320923,19.18962987,49.96939222,112.83,1090.51539,1054.822088,2020,2.053935247
67,Mexico,01-01-2019,1.27E+12,1.23E+12,3.635961421,3.480000019,,74.202,,99.59999847,97.561569,,2.356019328,38.82128516,39.07606179,21.16019805,49.43851437,112.25,1269.011767,1232.011849,2019,-0.254776626
68,Mexico,01-01-2018,1.22E+12,1.19E+12,4.899350154,3.269999981,41.9,74.015,95.37991333,99.5,96.89668563,16.57785034,3.096083219,39.25755173,41.3018325,22.71140714,49.64942514,110.49,1222.408203,1189.348943,2018,-2.044280771
69,Mexico,01-01-2017,1.16E+12,1.13E+12,6.04145724,3.420000076,,74.138,94.97277832,100,93.07232465,17.57729912,2.856785165,37.65156846,39.46417605,22.90497229,49.87062424,108.02,1158.913036,1128.823076,2017,-1.812607589
70,Mexico,01-01-2016,1.08E+12,1.05E+12,2.821707847,3.859999895,,74.412,94.85961914,99.5,91.94482417,17.93932915,3.605968621,37.04217108,39.02003805,23.62131194,50.58669204,104.29,1078.490652,1049.583161,2016,-1.977866969
71,Mexico,01-01-2015,1.17E+12,1.14E+12,2.72064065,4.309999943,,74.682,94.47228241,99,89.62827659,19.01874924,3.093110829,34.52488584,36.56420427,23.3130633,50.7626225,98.44,1171.867608,1141.602673,2015,-2.039318429
72,Saudi Arabia,01-01-2020,7.03E+11,7.17E+11,3.44545826,7.449999809,,76.239,97.58506775,100,120.052537,19.05945015,0.767614998,26.18290495,25.8936839,27.62633519,80.75393052,151.14,703.3678412,717.1954667,2020,0.289221053
73,Saudi Arabia,01-01-2019,8.04E+11,8.12E+11,-2.093333333,5.639999866,,77.304,,100,115.2711969,19.07131004,0.567755267,35.57169449,27.24445196,29.13752935,80.75393052,137.66,803.6162648,811.5157333,2019,8.327242534
74,Saudi Arabia,01-01-2018,8.17E+11,8.24E+11,2.45814158,6.03000021,,77.212,,100,117.9691219,19.36075974,0.520110012,38.56536939,25.66677286,26.37614651,80.75393052,126.2,816.5786745,824.2896,2018,12.89859653
75,Saudi Arabia,01-01-2017,6.89E+11,6.99E+11,-0.83819458,5.889999866,,77.16,95.32862854,99.93000031,117.5995716,22.25806046,0.206051738,34.85306244,29.33194581,28.85175784,80.75400086,112.24,688.5860944,699.2841386,2017,5.521116632
76,Saudi Arabia,01-01-2016,6.45E+11,6.61E+11,2.068840361,5.599999905,,77.064,,99.90000153,143.4406683,24.94861984,1.155546753,31.1442026,30.71782594,30.93261875,80.76838986,106.72,644.935682,660.6623187,2016,0.426376669
77,Saudi Arabia,01-01-2015,6.54E+11,6.72E+11,1.206073222,5.599999905,,76.918,,100,161.21011,,1.244292098,33.32117956,37.79897452,34.17259867,80.77304169,101.2,654.2697396,671.5499188,2015,-4.477794958
78,South Africa,01-01-2020,3.38E+11,3.32E+11,3.210035975,24.34000015,,65.252,,84.38553619,163.1909795,19.52728081,0.934054723,27.60030279,23.20067874,12.40005296,79.41785028,111,337.6196801,331.9875982,2020,4.39962405
79,South Africa,01-01-2019,3.89E+11,3.79E+11,4.12024587,25.54000092,,66.175,95.02297211,85,166.9433215,19.59622955,1.316776751,27.29747129,26.75729511,15.85328499,79.41785028,103.7,388.5319541,378.8481137,2019,0.540176177
80,South Africa,01-01-2018,4.04E+11,3.93E+11,4.517165228,24.21999931,,65.674,,84.69999695,161.1938374,18.90159035,1.378035088,27.56264021,27.06507137,16.18844358,79.41785028,103.94,404.1596909,392.8708796,2018,0.497568839
81,South Africa,01-01-2017,3.81E+11,3.71E+11,5.184246648,23.98999977,,65.402,87.04666901,84.40000153,156.2424453,18.71928978,0.539673957,27.34007578,26.19585605,16.61073406,79.41785028,105.41,381.4488147,370.8729822,2017,1.144219733
82,South Africa,01-01-2016,3.24E+11,3.15E+11,6.571396422,24.02000046,,64.747,,83.90000153,146.0644426,18.04874039,0.684612553,28.15608817,27.70516933,16.96045229,79.41785028,95.98,323.5855097,315.2940787,2016,0.450918835
83,South Africa,01-01-2015,3.47E+11,3.39E+11,4.540642277,22.87000084,,63.95,94.36791992,85.30000305,157.4892588,18.69935036,0.438735792,27.71363841,29.01303773,18.63320666,79.41785028,100.7,346.7097905,338.7666187,2015,-1.29939932
84,Turkiye,01-01-2020,7.20E+11,7.11E+11,12.27895745,13.10999966,,75.85,,100,97.61417509,9.380000114,1.087201942,28.73312698,32.22280406,31.54844136,49.06513519,115.6,720.2893683,710.8973605,2020,-3.489677087
85,Turkiye,01-01-2019,7.60E+11,7.47E+11,15.17682157,13.67000008,15,77.832,96.74221039,100,96.77676962,12.47004032,1.259709039,32.52720158,30.16152738,25.232545,49.00536621,112.33,759.9373905,747.1123453,2019,2.365674199
86,Turkiye,01-01-2018,7.78E+11,7.67E+11,16.3324639,10.89000034,14.4,77.563,,100,96.74999684,12.42586994,1.606352135,31.15287808,31.4014914,29.37704929,49.11710822,107.04,778.471901,766.5279752,2018,-0.248613316
87,Turkiye,01-01-2017,8.59E+11,8.48E+11,11.14431108,10.81999969,13.9,77.141,96.15052795,100,94.77443648,12.9663496,1.302683199,26.03942234,29.72274641,30.6942181,49.32759898,107.92,858.9962631,847.8361637,2017,-3.683324062
88,Turkiye,01-01-2016,8.70E+11,8.61E+11,7.775134153,10.84000015,13.5,76.66,96.16732788,100,92.64658163,13.28166008,1.590791306,23.08350913,25.2446771,28.01960361,49.80055351,102.63,869.6929604,860.5118565,2016,-2.161167972
89,Turkiye,01-01-2015,8.64E+11,8.55E+11,7.670853648,10.23999977,14.3,76.646,95.60141754,100,92.45799717,13.02033043,2.228697034,24.53127734,26.55726626,28.19920217,50.09030313,101.98,864.3166703,854.6326436,2015,-2.025988923
90,United Kingdom,01-01-2020,2.70E+12,2.64E+12,0.989486704,4.472000122,,80.90243902,,100,117.8163133,10.56000042,4.898158179,29.23718972,28.87896913,17.25640099,71.34004919,96.84,2704.60916,2643.852717,2020,0.358220587
91,United Kingdom,01-01-2019,2.86E+12,2.86E+12,1.738104601,3.74000001,,81.20487805,,100,120.8484884,13.54821014,0.692697277,31.25760606,32.87254707,18.26686467,72.4229988,103.61,2857.057848,2855.883547,2019,-1.614941019
92,United Kingdom,01-01-2018,2.88E+12,2.84E+12,2.292839903,4,,81.25609756,,100,118.7527408,13.34407997,-0.870539118,31.23490667,32.76488938,18.10175164,71.71852023,99.56,2878.152147,2838.922264,2018,-1.529982711
93,United Kingdom,01-01-2017,2.68E+12,2.65E+12,2.557755776,4.329999924,18.6,81.25609756,,100,119.7294099,13.76128006,4.671642556,30.67244826,32.12711894,18.35014542,72.19506675,102.2,2683.399007,2654.505924,2017,-1.454670678
94,United Kingdom,01-01-2016,2.70E+12,2.64E+12,1.008417368,4.809999943,17,81.15609756,,100,120.2210676,13.44863987,12.03163593,28.6504713,30.60574825,17.93868448,71.71488364,97.96,2699.659681,2636.540825,2016,-1.955276947
95,United Kingdom,01-01-2015,2.93E+12,2.87E+12,0.368046842,5.300000191,,80.95609756,,100,121.5048919,13.49020958,1.54465681,27.63032549,29.28269577,17.76477643,70.83867234,101.36,2934.857946,2871.047254,2015,-1.652370278
96,United States,01-01-2020,2.11E+13,2.15E+13,1.233584396,8.050000191,,77.2804878,,100,104.9353748,12.64999962,0.707068619,10.20212574,13.18163614,21.05096059,44.36336735,104.45,21060.47361,21472.36,2020,-2.979510392
97,United States,01-01-2019,2.14E+13,2.18E+13,1.812210075,3.670000076,,78.78780488,,100,106.4140195,13.38055038,1.47207498,11.87247011,14.57947936,21.31923246,44.36336735,100.09,21380.97612,21764.537,2019,-2.707009244
98,United States,01-01-2018,2.05E+13,2.09E+13,2.442583297,3.900000095,,78.63902439,,100,104.847944,13.14618015,1.045703992,12.36098922,15.24939006,21.20591656,44.36336735,103.35,20533.05731,20937.355,2018,-2.888400841
99,United States,01-01-2017,1.95E+13,1.99E+13,2.130110004,4.360000134,,78.53902439,,100,103.1297891,13.8646698,1.955210863,12.26173812,15.0174229,20.81343098,44.36336735,101.95,19477.33655,19885.551,2017,-2.755684786
100,United States,01-01-2016,1.87E+13,1.90E+13,1.261583206,4.869999886,,78.53902439,,100,103.3702501,13.15421009,2.537497659,11.93953873,14.64746063,20.5667783,44.30370531,104.85,18695.11084,19020.479,2016,-2.707921896
101,United States,01-01-2015,1.82E+13,1.87E+13,0.118627136,5.28000021,,78.6902439,,100,102.3083933,13.54563999,2.809147629,12.46099316,15.35124034,21.20047568,44.24402728,96.99,18206.02074,18660.91,2015,-2.890247174
